Project	Revision(prev)	Revision(cur)	Added	Deleted	File
activemq	activemq-5.2.0	activemq-5.3.0	0	37	activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/LoadTest.java
activemq	activemq-5.2.0	activemq-5.3.0	0	63	activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/localBroker/CounterBean.java
activemq	activemq-5.2.0	activemq-5.3.0	0	40	activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/localBroker/LocalBrokerConsumeTest.java
activemq	activemq-5.2.0	activemq-5.3.0	0	39	activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/localBroker/LocalBrokerLoadTest.java
activemq	activemq-5.2.0	activemq-5.3.0	0	39	activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/localBroker/LocalBrokerParallelProducerLoadTest.java
activemq	activemq-5.2.0	activemq-5.3.0	4	1	activemq-camel/src/main/java/org/apache/activemq/camel/CamelDestination.java
activemq	activemq-5.2.0	activemq-5.3.0	5	3	activemq-camel/src/main/java/org/apache/activemq/camel/CamelMessageProducer.java
activemq	activemq-5.2.0	activemq-5.3.0	2	1	activemq-camel/src/main/java/org/apache/activemq/camel/component/ActiveMQConfiguration.java
activemq	activemq-5.2.0	activemq-5.3.0	34	2	activemq-camel/src/main/java/org/apache/activemq/camel/component/CamelEndpointLoader.java
activemq	activemq-5.2.0	activemq-5.3.0	2	2	activemq-camel/src/main/java/org/apache/activemq/camel/component/JournalComponent.java
activemq	activemq-5.2.0	activemq-5.3.0	11	13	activemq-camel/src/main/java/org/apache/activemq/camel/component/JournalEndpoint.java
activemq	activemq-5.2.0	activemq-5.3.0	1	0	activemq-camel/src/main/java/org/apache/activemq/camel/converter/ActiveMQMessageConverter.java
activemq	activemq-5.2.0	activemq-5.3.0	110	0	activemq-camel/src/main/java/org/apache/camel/web/resources/RoutesResource.java
activemq	activemq-5.2.0	activemq-5.3.0	3	3	activemq-camel/src/test/java/org/apache/activemq/camel/CamelEmbeddedBrokerTestSupport.java
activemq	activemq-5.2.0	activemq-5.3.0	4	3	activemq-camel/src/test/java/org/apache/activemq/camel/CamelJmsTest.java
activemq	activemq-5.2.0	activemq-5.3.0	3	3	activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQConfigureTest.java
activemq	activemq-5.2.0	activemq-5.3.0	16	14	activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQJmsHeaderRouteTest.java
activemq	activemq-5.2.0	activemq-5.3.0	1	1	activemq-camel/src/test/java/org/apache/activemq/camel/component/ActiveMQReplyToHeaderUsingConverterTest.java
activemq	activemq-5.2.0	activemq-5.3.0	0	69	activemq-camel/src/test/java/org/apache/activemq/camel/component/BrowseQueuesInUFace.java
activemq	activemq-5.2.0	activemq-5.3.0	24	5	activemq-camel/src/test/java/org/apache/activemq/camel/component/InvokeRequestReplyUsingJmsReplyToHeaderTest.java
activemq	activemq-5.2.0	activemq-5.3.0	3	1	activemq-camel/src/test/java/org/apache/activemq/camel/component/JournalRouteTest.java
activemq	activemq-5.2.0	activemq-5.3.0	26	0	activemq-console/src/main/java/org/apache/activemq/console/Main.java
activemq	activemq-5.2.0	activemq-5.3.0	72	4	activemq-console/src/main/java/org/apache/activemq/console/command/AbstractJmxCommand.java
activemq	activemq-5.2.0	activemq-5.3.0	137	0	activemq-console/src/main/java/org/apache/activemq/console/command/StopGracefullyCommand.java
activemq	activemq-5.2.0	activemq-5.3.0	36	13	activemq-core/src/main/java/org/apache/activemq/ActiveMQConnection.java
activemq	activemq-5.2.0	activemq-5.3.0	46	2	activemq-core/src/main/java/org/apache/activemq/ActiveMQConnectionFactory.java
activemq	activemq-5.2.0	activemq-5.3.0	1	1	activemq-core/src/main/java/org/apache/activemq/ActiveMQInputStream.java
activemq	activemq-5.2.0	activemq-5.3.0	5	5	activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageAudit.java
activemq	activemq-5.2.0	activemq-5.3.0	192	108	activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageConsumer.java
activemq	activemq-5.2.0	activemq-5.3.0	4	0	activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageProducer.java
activemq	activemq-5.2.0	activemq-5.3.0	15	0	activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageTransformation.java
activemq	activemq-5.2.0	activemq-5.3.0	29	8	activemq-core/src/main/java/org/apache/activemq/ActiveMQPrefetchPolicy.java
activemq	activemq-5.2.0	activemq-5.3.0	67	22	activemq-core/src/main/java/org/apache/activemq/ActiveMQSession.java
activemq	activemq-5.2.0	activemq-5.3.0	15	10	activemq-core/src/main/java/org/apache/activemq/ActiveMQSessionExecutor.java
activemq	activemq-5.2.0	activemq-5.3.0	4	1	activemq-core/src/main/java/org/apache/activemq/ActiveMQSslConnectionFactory.java
activemq	activemq-5.2.0	activemq-5.3.0	1	1	activemq-core/src/main/java/org/apache/activemq/AdvisoryConsumer.java
activemq	activemq-5.2.0	activemq-5.3.0	24	2	activemq-core/src/main/java/org/apache/activemq/ConnectionAudit.java
activemq	activemq-5.2.0	activemq-5.3.0	4	4	activemq-core/src/main/java/org/apache/activemq/RedeliveryPolicy.java
activemq	activemq-5.2.0	activemq-5.3.0	82	36	activemq-core/src/main/java/org/apache/activemq/TransactionContext.java
